trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,tc_0,tc_1
0,1000,1,0.013326,0.025088,0.022141,0.028385,0.011885,0.020537,0.016908,0.020918,0.014678,0.006201,-0.000554,-0.019230,0.006980,0.001438,0.003337,-0.001290,-0.003558,-0.005720,0.009895,0.000956,0.004439,-0.006154,-0.011404,0.005248,0.008271,0.001146,0.004493,0.003102,0.004345,-0.001373,0.002523,-0.005530,-0.004957,-0.006625,0.003655,0.001333,0.007460,-0.000310,-0.008529,-0.006534,-0.007148,-0.016809,-0.007071,-0.017752,-0.019404,-0.025739,-0.013212,-0.022488,-0.024028,-0.053490,0.098102,0.084399
1,1000,1,0.015062,0.019181,0.010421,0.014697,0.010067,0.018315,0.017168,0.015950,0.009847,0.013749,-0.002522,0.013241,-0.003746,-0.005048,-0.002413,0.005558,-0.016414,0.000131,-0.007018,0.001918,0.003432,-0.003066,0.001843,-0.011449,-0.005421,-0.003947,-0.006748,0.000959,-0.007781,-0.000148,0.003635,0.000103,0.001770,-0.002237,-0.006475,-0.008986,-0.001133,0.000250,-0.010748,-0.000876,-0.009967,-0.023556,-0.007917,-0.040520,-0.009516,-0.050176,-0.011742,-0.014205,-0.021573,-0.010852,0.066494,0.084677
2,1000,1,0.011551,0.046268,0.017214,0.009671,0.019211,0.024767,0.013914,0.009504,0.015643,0.009380,-0.001182,-0.007631,-0.000470,-0.013025,-0.000866,0.007369,0.000797,0.004085,0.003472,0.002903,-0.000360,0.008172,0.001812,-0.001116,0.007058,0.004869,-0.007298,-0.003175,-0.024168,0.000843,-0.006352,-0.028870,-0.001585,-0.004213,-0.011050,-0.006448,-0.002902,-0.005406,-0.016528,-0.005141,-0.007155,-0.006004,-0.016391,-0.012655,-0.040342,-0.020007,-0.021697,-0.006902,-0.007683,-0.015755,0.077833,0.060416
3,1000,1,0.015151,0.025596,0.025608,0.011322,0.016722,0.018706,0.022547,0.016540,0.008382,0.012788,-0.002398,-0.004379,0.008504,0.000280,-0.007717,0.003025,-0.007482,0.005416,-0.001397,0.003111,-0.017922,-0.001620,-0.005181,-0.002963,0.001801,0.010082,0.007762,-0.017457,0.014239,-0.002548,-0.011621,-0.036970,-0.002760,-0.013524,-0.010897,-0.014208,-0.019613,0.013256,-0.000144,0.001569,-0.000482,-0.005639,-0.019790,-0.023164,-0.024045,-0.029941,-0.023785,-0.015838,-0.021594,-0.007164,0.082824,0.050004
4,1000,1,0.016806,0.007938,0.004412,0.015694,0.020573,0.016453,0.019888,0.021529,0.028984,0.011029,0.010449,-0.005934,0.000294,-0.004168,0.006995,0.001709,-0.004432,0.004091,0.001160,0.008967,0.009702,-0.005592,0.036728,0.006955,-0.015553,-0.038060,0.003548,-0.028012,-0.004613,-0.014535,0.004775,-0.005972,0.005099,-0.004338,0.003851,-0.012122,-0.000315,0.001453,0.003488,-0.019609,-0.033697,-0.010615,-0.036889,-0.019696,-0.019825,-0.003192,-0.020175,-0.021139,-0.017568,-0.023775,0.074385,0.087327
5,1000,1,0.014668,0.005777,0.014009,0.017934,0.016247,0.008457,0.010943,0.016082,0.021436,0.022883,-0.001802,-0.004102,-0.004716,0.008220,-0.009918,-0.003674,-0.009941,0.003927,-0.004902,-0.003854,-0.012447,-0.010729,-0.003264,-0.006662,-0.002923,-0.002310,-0.006780,0.007061,0.003365,-0.005129,-0.000362,0.005681,-0.004910,0.007942,-0.012498,-0.000302,0.029947,-0.010997,0.005681,-0.001682,-0.018846,-0.015343,-0.027093,-0.005324,-0.007956,-0.014969,-0.031445,-0.022403,-0.019547,-0.003484,0.080383,0.056974
6,1000,1,0.004168,0.011096,0.014312,0.011039,0.013199,0.023692,0.018731,0.016140,0.017951,0.017981,-0.002070,-0.007923,-0.002655,0.005886,0.000511,-0.000195,-0.000626,0.007307,0.004357,0.001088,0.008489,-0.027263,0.000202,-0.005386,-0.008454,-0.006277,0.000187,-0.014246,0.000362,0.004963,0.005015,0.000471,0.005756,-0.000992,-0.003749,-0.006353,0.000997,0.007778,-0.002992,-0.011218,-0.027805,-0.006337,-0.008287,-0.007557,-0.017589,-0.010731,-0.034449,-0.015013,-0.018741,-0.006398,0.088322,0.076011
7,1000,1,0.015093,0.019714,0.016088,0.007345,0.009247,0.012777,0.017950,0.015754,0.005485,0.016158,-0.007820,-0.009002,-0.009497,0.007362,-0.006673,0.009474,0.006990,0.001541,-0.013325,-0.004028,0.004390,0.000725,-0.001043,0.003523,-0.003342,-0.002176,-0.007499,-0.032024,-0.007706,0.009985,0.036699,-0.008073,0.003573,0.002540,-0.001783,-0.013857,-0.005876,-0.005946,-0.004021,0.000660,-0.033124,-0.023880,-0.025079,-0.010222,-0.022994,-0.019737,-0.018552,-0.012579,-0.013243,-0.010286,0.053134,0.071814
8,1000,1,0.020684,0.020954,0.011863,0.018411,0.007242,0.012979,0.018636,0.012460,0.024763,0.009783,-0.007753,-0.006478,-0.000150,0.005676,-0.002341,0.000752,0.002598,-0.013248,0.001924,0.004946,-0.002163,0.000521,-0.001719,0.005320,-0.000965,-0.007270,0.002445,-0.005689,0.010580,-0.005587,-0.015421,-0.000155,0.002635,0.001395,-0.002495,0.002674,0.005601,0.002281,-0.011805,-0.003138,-0.010815,-0.007513,-0.038831,-0.007997,-0.014542,-0.022367,-0.011599,-0.004714,-0.014150,-0.005862,0.067690,0.075966
9,1000,1,0.010818,0.014541,0.019864,0.027392,0.017160,0.016308,0.012963,0.013115,0.006199,0.007750,-0.000457,-0.002381,0.003059,0.001848,-0.006385,-0.008122,0.005635,-0.003373,0.004507,-0.015657,-0.009933,-0.028380,-0.008064,0.006877,0.002624,-0.000373,-0.008827,-0.013194,-0.016638,0.006776,0.004228,0.009046,-0.017837,0.000846,0.016377,-0.052029,0.007104,-0.026972,-0.020614,-0.002905,-0.015659,-0.028513,-0.012458,-0.011157,-0.008327,-0.014653,-0.018245,-0.017187,-0.032806,-0.017124,0.077327,0.070135
